,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
3047,3048,04-05-0602/034,"3-я Прядильная ул., д.4, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.6А",0.02,0.07,0.077,0.0,да
3048,3049,04-05-0602/034,"3-я Прядильная ул., д.4, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.4, корп.1",0.0708,0.16018,0.201,0.0,да
3049,3050,04-05-0602/034,"3-я Прядильная ул., д.4, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.4, корп.2",0.093,0.2046,0.21,0.0,да
3050,3051,04-05-0602/034,"3-я Прядильная ул., д.4, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1962-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.4, корп.3",0.093,0.2046,0.175,0.0,да
3051,3052,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"Маленковская ул., д.3",0.26,0.6344,0.797,0.042,да
3052,3053,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"Маленковская ул., д.7",0.11,0.243001,0.26,0.0,да
3053,3054,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"ул. Сокольнический Вал, д.52",0.03,0.105,0.07,0.0,да
3054,3055,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"ул. Сокольнический Вал, д.40",0.14,0.31307,0.44,0.0,да
3055,3056,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"ул. Сокольнический Вал, д.50, корп.2",0.36,0.805,0.96,0.0,да
3056,3057,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"Песочный пер., д.2",0.098,0.2195,0.5,0.0,да
3057,3058,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"ул. Сокольнический Вал, д.46",0.025,0.058523,0.12,0.0,да
3058,3059,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"ул. Сокольническая Слободка, д.10",0.1,0.224017,0.28,0.0,да
3059,3060,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"Песочный пер., д.3",0.0,0.0,0.66,0.0,да
3060,3061,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"ул. Сокольнический Вал, д.48",0.175,0.3915,0.42,0.0,да
3061,3062,04-02-0608/020,"Маленковская ул., д.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1977-01-01,ПАО «МОЭК»,"Маленковская ул., д.9/11",0.0,0.0,0.29,0.0,да
3062,3063,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"шоссе Энтузиастов, д.84/1, стр.3",0.0,0.0,0.0,0.0,да
3063,3064,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"шоссе Энтузиастов, д.84/1, стр.7",0.0,0.0,0.0,0.0,да
3064,3065,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.1, корп.2",0.0,0.0,0.0,0.0,да
3065,3066,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"шоссе Энтузиастов, д.84/1, стр.12",0.0,0.0,0.0,0.0,да
3066,3067,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"шоссе Энтузиастов, д.84/1, стр.4",0.0,0.0,0.0,0.0,да
3067,3068,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.1, корп.3",0.0,0.0,0.0,0.0,да
3068,3069,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.1, корп.4",0.0,0.0,0.0,0.0,да
3069,3070,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.1, стр.10",0.0,0.0,0.0,0.0,да
3070,3071,04-03-0209/053,"Новогиреевская ул., д.1, стр.5",ЦТП,Встроенное,ТЭЦ №22,Восточный,район Перово,1956-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.1, стр.5",0.0,0.0,0.0,0.0,да
3071,3072,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.36, корп.2",0.290856,0.6551777,1.029161,0.0,нет
3072,3073,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.36, корп.1",0.176317,0.3925644,0.37211,0.0,нет
3073,3074,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.34А",0.004286,0.015001,0.073,0.0,нет
3074,3075,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.38, корп.1",0.085573,0.1883945,0.733558,0.0,нет
3075,3076,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Городецкая ул., д.3",0.413563,0.9163438,0.86456,0.0,нет
3076,3077,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Новокосинская ул., д.45",0.305025,0.683789,0.968933,0.0,нет
3077,3078,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.38",0.02692,0.09422,0.12,0.0362,нет
3078,3079,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.34, корп.2",0.3086254,0.694514,0.729411,0.0,нет
3079,3080,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.38, корп.2",0.368618,0.8171073,0.757898,0.0,нет
3080,3081,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Новокосинская ул., д.35",0.0,0.0,0.07,0.0,нет
3081,3082,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.32/1",0.0,0.727,0.051575,0.0,нет
3082,3083,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Новокосинская ул., д.41",0.07,0.245,0.2493,1.42315,нет
3083,3084,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Новокосинская ул., д.37",0.2909724,0.6451851,0.733848,0.0,нет
3084,3085,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Новокосинская ул., д.39",0.316726,0.6984508,0.772811,0.0,нет
3085,3086,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Суздальская ул., д.34, корп.1",0.095501,0.2117285,0.729412,0.0,нет
3086,3087,04-09-401,"Суздальская ул., д.34А",ЦТП,Встроенное,РТС Перово,Восточный,район Новокосино,1986-01-01,ПАО «МОЭК»,"Новокосинская ул., д.43",0.2958238,0.6589566,0.770429,0.0,нет
3087,3088,04-02-0608/101,"ул. Гастелло, д.44, стр.4",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1973-01-01,ПАО «МОЭК»,"ул. Гастелло, д.44, стр.1",0.0,0.0,0.35,0.0,да
3088,3089,04-02-0608/101,"ул. Гастелло, д.44, стр.4",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1973-01-01,ПАО «МОЭК»,"ул. Гастелло, д.44",0.0,0.0,0.03,0.0,да
3089,3090,04-02-0608/101,"ул. Гастелло, д.44, стр.4",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1973-01-01,ПАО «МОЭК»,"ул. Гастелло, д.44, стр.5",0.0,0.0,0.05,0.0,да
3090,3091,04-02-0608/101,"ул. Гастелло, д.44, стр.4",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1973-01-01,ПАО «МОЭК»,"ул. Гастелло, д.44, стр.4",0.0,0.0,0.08,0.0,да
3091,3092,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"ул. Металлургов, д.4",0.085,0.187,0.175,0.0,да
3092,3093,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.22",0.095,0.209,0.21,0.0,да
3093,3094,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"1-я Владимирская ул., д.25, корп.2",0.095,0.209,0.19,0.0,да
3094,3095,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"1-я Владимирская ул., д.23, корп.3",0.085,0.187,0.175,0.0,да
3095,3096,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"1-я Владимирская ул., д.23, корп.2",0.085,0.187,0.175,0.0,да
3096,3097,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"ул. Металлургов, д.6",0.085,0.187,0.175,0.0,да
3097,3098,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"ул. Металлургов, д.8/20",0.085,0.187,0.17,0.0,да
3098,3099,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"1-я Владимирская ул., д.25, корп.3",0.095,0.209,0.19,0.0,да
3099,3100,04-03-0209/118,"2-я Владимирская ул., д.22, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Перово,1965-01-01,ПАО «МОЭК»,"1-я Владимирская ул., д.21",0.102,0.24,0.257,0.0,да
